"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"267","Hyundai Accent Blue 1.6 CRDI Biz
            ÇOBAN OTOMOTİV'DEN 2014 ACCENT BLUE OTOMATİK HATASIZ BOYASIZ ORJİNAL","2014",102000,"Beyaz",51500,"13 Mayıs 2017","İzmir Gaziemir","Hyundai Accent Blue ",36.470248,37.2522089
"338","Volkswagen Jetta 1.6 TDi Comfortline
            ÇOBAN OTOMOTİV'DEN 2013 VW JETTA 1.6 TDİ COMFORTLİNE OTOMATİK","2013",101000,"Gri (metalik)",68500,"13 Mayıs 2017","İzmir Gaziemir","Volkswagen Jetta 1.6",37.3399768,37.203126
"438","Dacia Sandero 1.5 dCi Stepway
            ÇOBAN OTOMOTİV'DEN 2016 STEPWAY HATASIZ OTOMATİK BOYASIZ ORJİNAL
                
                            
                            Yeni Gibi","2016",21000,"Mavi (metalik)",57500,"13 Mayıs 2017","İzmir Gaziemir","Dacia Sandero 1.5 dC",NA,NA
"537","Toyota Avensis 1.6 Elegant
            2009 TOYOTA AVANSİS 1.6 ELEGANT GRİ 79.000 KM","2009",79000,"Gri",56900,"13 Mayıs 2017"," Ankara Yenimahalle","Toyota Avensis 1.6 E",32.695547,39.9904289
"738","Ford Focus 1.6 TDCi Trend
            ÇOBAN OTOMOTİV'DEN 2012 FOCUS 1.6 TDCİ TREND BAKIMLI MASRAFSIZ","2012",158000,"Lacivert",46900,"13 Mayıs 2017","İzmir Gaziemir","Ford Focus 1.6 TDCi ",27.971405,40.353707
"838","Volkswagen Polo 1.6 TDi Comfortline
            ÇOBAN OTOMOTİV'DEN 2011 VW POLO 1.6 TDİ COMFORTLİNE MASRAFSIZ","2011",126000,"Beyaz",39750,"13 Mayıs 2017","İzmir Gaziemir","Volkswagen Polo 1.6 ",37.086224,39.6896148
"938","Hyundai Accent Blue 1.6 CRDI Biz
            2015 ACCENT BLUE 1.5 CRDİ BİZ DCT ŞANZIMAN HATASIZ","2015",70700,"Gri (Gümüş)",56750,"13 Mayıs 2017","İstanbul Beylikdüzü","Hyundai Accent Blue ",32.650351,39.9310354
"1037","Ford Fiesta 1.5 TDCi Trend
            ÇOBAN OTOMOTİV'DEN 2014 FİESTA 1.5 TDCİ TRND DEĞİŞENSİZ BAKIMLI","2014",139000,"Beyaz",41500,"13 Mayıs 2017","İzmir Gaziemir","Ford Fiesta 1.5 TDCi",30.672185,40.8096395
"1138","Hyundai i20 1.2 MPI Style
            ÇOBAN OTOMOTİV'DEN 2015 İ.20 1.2 STYLE DEĞİŞEN YOK MASRAFSIZ","2015",91000,"Beyaz",42000,"13 Mayıs 2017","İzmir Gaziemir","Hyundai i20 1.2 MPI ",35.3186448,37.0204658
"1238","Dacia Logan 1.5 dCi Ambiance MCV
            ÇOBAN OTOMOTİV'DEN 2015 LOGAN MCV DEĞİŞEN YOK BOYA YOK HATASIZ","2015",69000,"Beyaz",43500,"13 Mayıs 2017","İzmir Gaziemir","Dacia Logan 1.5 dCi ",32.831015,40.0210623
"1338","Volkswagen Jetta 1.6 TDi Trendline
            ÇOBAN OTOMOTİV'DEN 2014 JETTA 1.6 TDİ DSG BAKIMLI DEĞİŞENSİZ","2014",141000,"Siyah",67250,"13 Mayıs 2017","İzmir Gaziemir","Volkswagen Jetta 1.6",36.097423,37.3740219
"1438","Chrysler 300 C 3.0 CRD
            ÇOBAN OTOMOTİV'DEN 2006 CHREYSLER 300 C CRD XENON SUNROOF","2006",272000,"Siyah",69750,"13 Mayıs 2017","İzmir Gaziemir","Chrysler 300 C 3.0 C",28.934444,41.055
"1538","Mercedes - Benz E 200
            E200 MERCEDES LPG'li OTOMATİK VİTES","1993",225000,"Füme",28500,"13 Mayıs 2017"," Bursa Osmangazi","Mercedes - Benz E 20",28.9881109,41.0600687
"1638","Renault Fluence 1.5 dCi Touch
            2016 FLUENCE 1.5 DCİ 90 HP TOUCH HATASIZ
                
                            
                            Yeni Gibi","2016",25800,"Beyaz",62500,"13 Mayıs 2017","İstanbul Beylikdüzü","Renault Fluence 1.5 ",35.555568,38.687501
"1838","BMW 5 Serisi 520i Standart
            *** GP AUTO'DAN FULL BAKIMLI BMW 520İ ***","1991",510000,"Beyaz",15000,"13 Mayıs 2017"," Antalya Muratpaşa","BMW 5 Serisi 520i St",37.773469,41.067089
"1938","Mercedes - Benz E 250 CGI BlueEFFICIENCY Avantgarde
            2012-E 250 CGI BlueEFF. Avantgarde Aut. CABRIOLET KOLUMAN BAYİ","2012",132000,"Siyah",197500,"13 Mayıs 2017"," Adana Seyhan","Mercedes - Benz E 25",29.3831026,40.8361421
"2038","Renault Fluence 1.6 Extreme
            SAMTAR OTOMOTİVDEN OTOMOTİK FULANCE","2011",110150,"Gri (Gümüş)",39750,"13 Mayıs 2017","İstanbul Bağcılar","Renault Fluence 1.6 ",39.4694117,39.714788
"2139","Renault Clio 1.5 dCi Joy
            BOYASIZ, DEĞİŞENSİZ CLİO 1.5 DCI JOY
                
                            
                            Yeni Gibi","2016",21250,"Beyaz",52000,"13 Mayıs 2017","İstanbulÜsküdar","Renault Clio 1.5 dCi",32.695547,39.9904289
"2238","Fiat Linea 1.3 Multijet Pop
            KAZASIZ, DEĞİŞENSİZ LİNEA POP MULTİJET 2 GSR","2015",57000,"Beyaz",43000,"13 Mayıs 2017","İstanbulÜsküdar","Fiat Linea 1.3 Multi",32.695547,39.9904289
"2338","Volkswagen Jetta 1.6 TDi Comfortline
            2014 VOLKSWAGEN JETTA 1.6TDI COMFORTLİNE DSG 7 İLERİ ORJ.","2014",82000,"Beyaz",82500,"13 Mayıs 2017"," Adana Seyhan","Volkswagen Jetta 1.6",29.1274334,41.0182327
"268","Citroen DS3 1.6 e-HDi DStyle
            2011 CITROEN DS3 1.6 122 PS  HDI SPORT FULL+FULL BAKIMLI MASRAFSIZ","2011",97000,"Beyaz",41750,"13 Mayıs 2017"," Adana Seyhan","Citroen DS3 1.6 e-HD",35.482597,38.720489
"339","Renault Clio 1.5 dCi Authentique
            2008 RENAULT CLİO III 1.5 DCİ AUTHENTİQUE BAKIMLI VE MASRAFSIZ","2008",157000,"Gri",29750,"13 Mayıs 2017"," Adana Seyhan","Renault Clio 1.5 dCi",30.4588059,40.7426859
"439","BMW 3 Serisi 320i ED EfficientDynamics
            2014 BMW 320i ed 1.6 OTOMATİK 170 BG","2014",58000,"Siyah",121500,"13 Mayıs 2017"," Adana Seyhan","BMW 3 Serisi 320i ED",28.131544,39.393883
"538","Audi A3 1.6 TDI Sportback Attraction
            HDR OTOMOTİV DEN 2012 MODEL AUDI A3 1.6 TDİ ATTRACTION","2012",59800,"Beyaz",80750,"13 Mayıs 2017"," Antalya Muratpaşa","Audi A3 1.6 TDI Spor",32.650351,39.9310354
"739","Mercedes - Benz C 200 BlueTEC AMG
            HDR OTOMOTİV DEN 2016 MODEL c200d BLUETEC AMG 7G-TRONIC
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",0,"Gri (metalik)",214000,"13 Mayıs 2017"," Antalya Muratpaşa","Mercedes - Benz C 20",32.9212265,39.8451842
"839","Fiat Tempra 1.6 S
            1995 MODELORJİNAL  FİAT TEMPRA 1.6 S  LPG'Lİ İŞLİ","1995",210000,"Beyaz",13500,"13 Mayıs 2017"," Bursa Osmangazi","Fiat Tempra 1.6 S
 ",30.672185,40.8096395
"939","Kia Ceed 1.6 CRDi Motion
            KİA CEED 1.6 CRDİ (senetle taksitlendirme seçeneğimiz vardır)","2012",59000,"Gri (Gümüş)",56750,"13 Mayıs 2017","İstanbulÜsküdar","Kia Ceed 1.6 CRDi Mo",32.9212265,39.8451842
"1038","Volkswagen Golf 1.4 TSi Highline
            AHMET YILDIRIM'dan Makyajlı Kasa Cam Tavan 
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2017",4300,"Beyaz",111000,"13 Mayıs 2017"," Adana Seyhan","Volkswagen Golf 1.4 ",29.1623231,40.1787113
"1139","Citroen C5 1.6 HDi SXPK
            2009 CITROEN C5 16 HDİ SXPK FULL SANRUFLU DEĞİŞENSİZ","2009",2e+05,"Lacivert",42750,"13 Mayıs 2017"," Uşak Eşme","Citroen C5 1.6 HDi S",34.4198243,37.0589669
"1239","Renault Megane 1.6 RTA
            2000 MODEL 16 RTA DEĞİŞENSİZ 134 BİN KM DE","2000",134000,"Bej",25000,"13 Mayıs 2017"," Uşak Eşme","Renault Megane 1.6 R",31.42026,41.279909
"1339","Tofaş Doğan SL
            Okyanustan Doğan Sl","1992",145000,"Siyah",7500,"13 Mayıs 2017"," Sivas Merkez","Tofaş Doğan SL
    ",29.1782018,41.1429436
"1439","Tofaş Doğan SLX
            96 SLX LPG Lİ İŞLİ MUAYENELİ İLK EL 110 Bin KM DE HİDROLİK
                
                            
                            İlk Sahibi","1996",110000,"Bordo",14000,"13 Mayıs 2017"," Uşak Eşme","Tofaş Doğan SLX
   ",29.0576298,40.9818744
"1539","Nissan Note 1.5 dCi Visia
            NİSSAN NV 200 TURNEY 2 1.6 TDİ RAMPA SİSTEMLİ ELK KOLTUKLU ENGELLİ TAŞIMA ARACI
                
                            
                            Yeni Gibi","2015",20000,"Kahverengi",NA,"13 Mayıs 2017"," AnkaraÇankaya","Nissan Note 1.5 dCi ",31.920441,40.168218
"1639","Renault R 19 1.6 Europa iE
            1.6 Enjeksiyonlu hatasız","1998",236700,"Mavi (metalik)",16900,"13 Mayıs 2017"," Konya Kulu","Renault R 19 1.6 Eur",27.6434844,40.1116962
"1839","Opel Corsa 1.2 Enjoy
            ARAC COK TEMIZ","2004",127000,"Beyaz",27750,"13 Mayıs 2017"," Kahramanmaraş Onikişubat","Opel Corsa 1.2 Enjoy",28.7780987,41.0212376
"1939","Fiat Punto 1.4 Easy S&S
            Fiat  Punto  1.4  Easy S&S","2014",48000,"Beyaz",26900,"13 Mayıs 2017","İstanbul Eyüp","Fiat Punto 1.4 Easy ",28.850556,40.9975
"2039","Volkswagen VW CC 2.0 TDi
            KUSURSUZ VE CAM TAVAN 2014 MODEL Volkswagen VW CC 2.0 TDI DSG F1","2014",93800,"Siyah",132900,"13 Mayıs 2017"," Sakarya Adapazarı","Volkswagen VW CC 2.0",39.4694117,39.714788
"2140","Volkswagen Passat 1.6 GL
            MASRAFSIZ TURBO DİZEL","1989",230000,"Yeşil",14500,"13 Mayıs 2017"," Ankara Akyurt","Volkswagen Passat 1.",27.971405,40.353707
"2239","Renault Clio 1.2 Extreme
            Orjinal Clio 47 500 Km 2011 Model
                
                            
                            İlk Sahibi","2011",47500,"Siyah",36500,"13 Mayıs 2017"," Bursa Mustafakemalpaşa","Renault Clio 1.2 Ext",32.639804,41.583746
"2339","Mercedes - Benz S 320
            1995 MODEL S 320 MERCEDES TAKAS OLUR","1995",330000,"Siyah",40000,"13 Mayıs 2017"," Sivas Merkez","Mercedes - Benz S 32",34.8952102,36.9165612
"269","Peugeot 301 1.6 HDi Access
            ÇOK TEMİZ - 2014 MODEL - 6.800 TL PEŞİN - 998 TL x 48 AY KREDİ
                
                            
                            İlk Sahibi","2014",69482,"Beyaz",41500,"13 Mayıs 2017","İzmir Buca","Peugeot 301 1.6 HDi ",32.650351,39.9310354
"340","Tofaş Doğan SLX
            FIRSAT ARACI-1995-TOFAŞ-DOĞAN-SLX-BENZİN LPG-VİZELİ-BAKIMLI","1995",150000,"Bordo",10750,"13 Mayıs 2017"," Antalya Kumluca","Tofaş Doğan SLX
   ",36.453317,37.240179
"440","Renault R 9 1.4 Broadway RN
            RENAULT BRODWAY 1.4 RN ORJİNAL","1998",288000,"Gri",13000,"13 Mayıs 2017"," Adana Yüreğir","Renault R 9 1.4 Broa",29.0227159,40.1794309
"539","Renault Megane 1.5 dCi GT-Line
            DİZEL OTOMATİK GT-LINE MEGANE
                
                            
                            İlk Sahibi","2014",79000,"Gri (titanyum)",69750,"13 Mayıs 2017","İstanbul Beykoz","Renault Megane 1.5 d",27.2440957,38.4626548
"740","Opel Corsa 1.2 Swing
            BU FİYATA  BAŞKA  YOK 2000 CORSA 1.2 KLİMALI  16 WALF","2000",211800,"Gri (Gümüş)",18750,"13 Mayıs 2017"," Zonguldak Merkez","Opel Corsa 1.2 Swing",28.059969,37.612659
"840","Ford Fiesta 1.4 TDCi Comfort
            2006 Hatasız Model Ford FİESTA TDCİ Makyajlı Kasa","2006",190000,"Beyaz",26750,"13 Mayıs 2017"," Burdur Bucak","Ford Fiesta 1.4 TDCi",27.0441009,38.3465505
"940","Renault Fluence 1.5 dCi Dynamique
            DENİZ OTOMOTİVDEN 2011 FLUENCE 15 110 PS 6 İLERİ FULL TERTEMİZ HATASIZ","2011",104000,"Füme",47750,"13 Mayıs 2017"," Mardin Nusaybin","Renault Fluence 1.5 ",27.2911248,38.3337361
"1039","Toyota Corolla 1.4 D-4D Comfort Extra
            -KARA AUTO ' DAN TOYOTA COROLLA COMFORT EXTRA BAKIMLI TEMİZDİR","2011",132000,"Gri (Gümüş)",49500,"13 Mayıs 2017","İstanbul Büyükçekmece","Toyota Corolla 1.4 D",32.831015,40.0210623
"1140","Skoda Octavia 1.6 TDI Elegance
            SKODA OCTAVİA 1.6 TDİ ELEGANCE  OTOMATİK H ENGELLİ EHLİYETLİ KENDİ KULLANAN  ORTOPEDİK ENGELLİYE SATILIK","2015",190000,"Bordo",NA,"13 Mayıs 2017"," AnkaraÇankaya","Skoda Octavia 1.6 TD",37.3399768,37.203126
"1240","Volkswagen Passat 1.6 FSi Trendline
            Volkswagen Passat 1.6 FSi Trendline Otomatik Vites","2006",220000,"Mavi (metalik)",43500,"13 Mayıs 2017","İstanbul Bağcılar","Volkswagen Passat 1.",42.4983217,37.3055432
"1340","Volkswagen Jetta 1.6 TDi Trendline
            Jetta 1.6 TDI Trendline DSG HATASIZ","2013",119000,"Siyah",68750,"13 Mayıs 2017"," Ankara Akyurt","Volkswagen Jetta 1.6",40.2109826,37.9249733
"1440","Ford Focus 1.6 TDCi Titanium
            2015-BOYASIZ-FORD-FOCUS-TITANİUM-FULL-BAKIMLI-SADECE-39.KM-DE+","2015",39000,"Beyaz",79500,"13 Mayıs 2017"," Antalya Muratpaşa","Ford Focus 1.6 TDCi ",37.3399768,37.203126
"1540","Lada Samara 1.5
            EMSALLERİNİN ÇOK ÜSTÜNDE BİNİCİNİN KEYİF ALACAĞI BİR ARAÇ","1992",2e+05,"Beyaz",7250,"13 Mayıs 2017"," Eskişehir Odunpazarı","Lada Samara 1.5
   ",37.2115829,36.9907413
"1640","Tofaş Şahin 1.6
            Bu paraya bole yok","1992",65000,"Beyaz",3705,"13 Mayıs 2017","İzmir Bergama","Tofaş Şahin 1.6
   ",28.9470422,41.0168639
"1840","Mercedes - Benz A 140
            BARAN OTOMOTİV'DEN 1999 MODEL MERCEDES A 140 HATASİZ","1999",175000,"Beyaz",26000,"13 Mayıs 2017","İzmir Gaziemir","Mercedes - Benz A 14",27.8455601,37.8380162
"1940","Opel Corsa 1.2 Enjoy
            AKAYLAR OTOMOTİVDEN__OTOMATİK VİTES__CORSA__1.2 16 VALF__ENJOY__","2005",175000,"Gri",27700,"13 Mayıs 2017"," Konya Karatay","Opel Corsa 1.2 Enjoy",32.424074,39.8544476
"2040","Tofaş Kartal 5 Vites
            ARACIM ÇOK TEMİZ","1992",185000,"Mavi",7250,"13 Mayıs 2017"," Sakarya Adapazarı","Tofaş Kartal 5 Vites",28.934444,41.055
"2141","Fiat Linea 1.3 Multijet Dynamic Plus
            ÇETİN OTOMOTİV DEN EURA 5 FULL+FULL","2011",196000,"Gri (Gümüş)",33800,"13 Mayıs 2017"," Gaziantep Nizip","Fiat Linea 1.3 Multi",31.4798948,39.7265093
"2240","Renault Latitude 1.5 dCi Privilege
            2013 RENAULT LATITUDE PRİVİLİGE 1.5 DİZEL EN DOLUSU HATASIZA YAKIN
                
                            
                            İlk Sahibi","2013",120000,"Siyah",67750,"13 Mayıs 2017","İstanbul Bağcılar","Renault Latitude 1.5",30.6890055,36.9934776
"2340","Mercedes - Benz C 180 Kompressor Avantgarde
            C180 KOMP AVANGART SPORT EDİTİON","2005",194000,"Gri (metalik)",58500,"13 Mayıs 2017"," Elazığ Merkez","Mercedes - Benz C 18",37.3399768,37.203126
"270","Opel Astra 1.6 Enjoy Plus
            TERZİ OTOMOTİV DEN 2012 MODEL LPG Lİ HATASIZ BOYASIZ ASTRA","2012",50000,"Beyaz",50000,"13 Mayıs 2017","Şanlıurfa Haliliye","Opel Astra 1.6 Enjoy",34.3343822,40.2141538
"341","Volkswagen VW CC 1.4 TSi
            TERZİ OTOMOTİV DEN 2016 MODEL BENZİNLİ HATASIZ BOYASIZ DSG VW CC
                
                            
                            Yeni Gibi","2016",25000,"Siyah",135000,"13 Mayıs 2017","Şanlıurfa Haliliye","Volkswagen VW CC 1.4",35.2587964,36.9674013
"441","Volkswagen Passat 2.0 TDi BlueMotion Highline
            TERZİ OTOMOTİV DEN 2011 MODEL DİZEL HATASIZ BOYASIZ DSG HİGHLİNE","2011",150000,"Siyah",95000,"13 Mayıs 2017","Şanlıurfa Haliliye","Volkswagen Passat 2.",35.2587964,36.9674013
"540","Tofaş Kartal 5 Vites
            MASRFASIZ KARTAL","1990",18795,"Şampanya",5800,"13 Mayıs 2017"," Adana Seyhan","Tofaş Kartal 5 Vites",35.482597,38.720489
"741","Volvo S80 2.8 T6
            MASRAFSIZ SUNROOFLU OTOMATİK S80","2000",324000,"Gri",26750,"13 Mayıs 2017","İstanbul Bağcılar","Volvo S80 2.8 T6
  ",27.0441009,38.3465505
"841","Renault Fluence 1.5 dCi Icon
            TERZİ OTOMOTİV DEN 2015 MODEL DİZEL HATASIZ BOYASIZ FLUENCE","2015",50000,"Beyaz",67000,"13 Mayıs 2017","Şanlıurfa Haliliye","Renault Fluence 1.5 ",27.95484,40.969332
"941","Volkswagen Jetta 1.4 TSi BlueMotion Highline
            2016 TAM DOLU 5.000 KM DE HATASIZ BOYASIZ OTOMATİK
                
                            
                            Yeni Gibi","2016",5000,"Kırmızı",92900,"13 Mayıs 2017","İstanbul Bağcılar","Volkswagen Jetta 1.4",34.7324106,39.9302773
"1040","Renault Megane 1.5 dCi Touch
            BİLGİ OTOMOTİV. 2016 MEGANE SEDAN 1.5 DCI TOUCH OTOMATİK BOYASIZ
                
                            
                            Yeni Gibi","2016",16000,"Beyaz",86900,"13 Mayıs 2017"," Bursa Nilüfer","Renault Megane 1.5 d",34.7324106,39.9302773
"1141","Renault Fluence 1.5 dCi Touch
            TERZİ OTOMOTİV DEN 2013 MODEL DİZEL HATASIZ BOYASIZ FLUENCE","2013",120000,"Beyaz",52500,"13 Mayıs 2017","Şanlıurfa Haliliye","Renault Fluence 1.5 ",35.482597,38.720489
"1241","Volkswagen Passat 1.6 TDi BlueMotion Comfortline
            WOLKSWAGEN PASSAT COMFORTLİNE 2015","2015",86000,"Beyaz",118750,"13 Mayıs 2017"," Elazığ Merkez","Volkswagen Passat 1.",30.6890055,36.9934776
"1341","Tofaş Doğan SLX
            TEMİZ VE BAKIMLI 93 SLX","1993",231452,"Şampanya",9000,"13 Mayıs 2017"," Osmaniye Merkez","Tofaş Doğan SLX
   ",30.285765,36.366948
"1441","Audi A4 2.0 TDI
            AUDİ A4 2.0TDİ BEYAZ HATASIZ KREDİ KARTINA 9 TAKSİT","2011",56000,"Beyaz",117500,"13 Mayıs 2017"," Konya Karatay","Audi A4 2.0 TDI
   ",37.3399768,37.203126
"1541","Mercedes - Benz E 250 CGI BlueEFFICIENCY AMG
            ATD MOTOR'DAN YENİ MOTOR E250 7G-TRONİC AMG CABRİOLET BOYASIZ","2012",70000,"Beyaz",189000,"13 Mayıs 2017"," Adana Seyhan","Mercedes - Benz E 25",36.5550757,41.2578477
"1641","Renault R 9 1.4 Broadway
            BUFİYATA BU TEMİZLİKTE YOK","1988",17877,"Beyaz",6800,"13 Mayıs 2017"," Adana Seyhan","Renault R 9 1.4 Broa",37.3399768,37.203126
"1841","Opel Astra 1.6 Twinport
            TERZİ OTOMOTİV DEN 2006 MODEL LPG Lİ HATASIZ ASTRA","2006",130000,"Beyaz",37500,"13 Mayıs 2017","Şanlıurfa Haliliye","Opel Astra 1.6 Twinp",36.5550757,41.2578477
"1941","Volkswagen Polo 1.4 Trendline
            Temiz Araç","2011",43400,"Beyaz",43500,"13 Mayıs 2017","Şanlıurfa Haliliye","Volkswagen Polo 1.4 ",39.1889005,38.7312587
"2041","Hyundai Accent Era 1.4 Team
            2010 HYUNDAİ ACCENT ERA 1,4 LPG Lİ ACİL TAKSİ ÇIKMASI DEĞİL","2010",60000,"Mavi (metalik)",22500,"13 Mayıs 2017"," Antalya Muratpaşa","Hyundai Accent Era 1",29.2204548,40.9184004
"2142","Ford Taunus 2.0 GTS
            87 TANUS OTOMATİK MASRAFSIZ LPG BENZİN HİDROLİK DİREKSİYON  İLGİLİ KİŞİ 0532 100 52 14","1987",55555,"Mavi (metalik)",5150,"13 Mayıs 2017"," AnkaraÇankaya","Ford Taunus 2.0 GTS",30.5256311,39.7667061
"2241","Renault Fluence 1.5 dCi Extreme
            HASAR KAYITSIZ HATASIZ OTAMATİK COK TEMİZ FLUENCE EXTREME EDİTİON","2012",155100,"Gri (Gümüş)",47750,"13 Mayıs 2017"," AnkaraÇankaya","Renault Fluence 1.5 ",28.138052,38.487074
"2341","Volkswagen Passat 1.6 TDi BlueMotion Comfortline
            ERLİNE GÖRÜNÜMLÜ 2015 comfort lıne PASSAT","2015",83000,"Gri (metalik)",119250,"13 Mayıs 2017"," Elazığ Merkez","Volkswagen Passat 1.",35.2587964,36.9674013
"271","Renault Clio 1.5 dCi Icon
            DEMİR OTOMOTİVDEN 2013 CLİO ICON 1.5 DİZEL","2013",108000,"Beyaz",45750,"13 Mayıs 2017","İstanbul Avcılar","Renault Clio 1.5 dCi",32.9833371,40.0092683
"342","Volkswagen Passat 1.8 T Comfortline
            METE AUTO dan PASSAT 1.8 T COMFORTLINE 2000 MODEL","2000",296000,"Mavi (metalik)",28500,"13 Mayıs 2017"," Yozgat Merkez","Volkswagen Passat 1.",29.2204548,40.9184004
"442","Mercedes - Benz C 200
            2016 MERCEDES C 200d Exclusive BEYAZ_BEJ BAYİ 2.600 KM %18 KDV
                
                            
                            Yeni Gibi","2016",2600,"Beyaz",201500,"13 Mayıs 2017","İstanbul Kadıköy","Mercedes - Benz C 20",29.2204548,40.9184004
"541","Volkswagen Polo 1.6 TDi Comfortline
            DEMİR OTOMOTİVDEN 2014 POLO 1.6 DİZEL OTOMOTİK 39000 KM","2014",39000,"Siyah",59750,"13 Mayıs 2017","İstanbul Avcılar","Volkswagen Polo 1.6 ",27.0558707,38.8211393
"742","Mercedes - Benz E 200 Elegance
            1996 Model E 200 E 2 Paket En Dolusu elaganse","1996",323500,"Füme",42500,"13 Mayıs 2017"," Konya Kulu","Mercedes - Benz E 20",27.0558707,38.8211393
"842","Renault R 9 1.4 Broadway GTE
            ONUR OTOMOTİVDEN FUL * FUL ORJİNAL BRODVEY...","1989",125000,"Beyaz",10250,"13 Mayıs 2017"," Konya Seydişehir","Renault R 9 1.4 Broa",27.0558707,38.8211393
"942","Kia Rio 1.4 CRDi Comfort
            55000 km de / orjinal sadece 2 kapıda lokal boya var","2015",55000,"Siyah",49750,"13 Mayıs 2017","İstanbul Kadıköy","Kia Rio 1.4 CRDi Com",27.0558707,38.8211393
"1041","Hyundai Accent 1.5 CRDi Admire
            Arac 2006 MODEL 1,5 CRDİ ARMİRE CHY KL GİRİ METAL GRİ BUZ DİZEL MODELİ KİLİMALI","2006",180000,"Gri (Gümüş)",21500,"13 Mayıs 2017","İzmir Karşıyaka","Hyundai Accent 1.5 C",27.0558707,38.8211393
"1142","Renault Symbol 1.5 dCi Joy
            2013 SYMBOL JOY 87.000 KM ÇOK TEMİZ ORJİNAL 90 HP SERVİS BAKIMLI","2013",87000,"Beyaz",40000,"13 Mayıs 2017","İzmir Buca","Renault Symbol 1.5 d",27.0558707,38.8211393
"1242","Mercedes - Benz C 180 Kompressor BlueEfficiency Luxury
            TAMAMINA KREDİ 2010 AMG BOYASIZ OTOMATİK-F1 CAM TAVAN Bİ-XENON","2010",108000,"Beyaz",89900,"13 Mayıs 2017","İstanbul Bağcılar","Mercedes - Benz C 18",27.0558707,38.8211393
"1342","Honda Civic 1.6 Elegance
            TAMAMINA KREDİ 2012 HATASIZ OTOMATİK SUNROOF DERİ NAVİGASYON","2012",83000,"Beyaz",64900,"13 Mayıs 2017","İstanbul Bağcılar","Honda Civic 1.6 Eleg",27.0558707,38.8211393
"1442","Opel Insignia 1.6 CDTI Cosmo
            ROYAL OTOMOTİV'DEN İNSİGNİA - HAYALET -GERİ GÖRÜŞ -N KOLAY KREDİ","2015",44000,"Siyah",92900,"13 Mayıs 2017","İzmir Buca","Opel Insignia 1.6 CD",27.0558707,38.8211393
"1542","Toyota Auris 1.4 D-4D Comfort Extra
            TAMAMINA KREDİ 2010 BOYASIZ HATASIZ DİZEL OTOMATİK COMFORT EXTRA","2010",130000,"Gri",46900,"13 Mayıs 2017","İstanbul Bağcılar","Toyota Auris 1.4 D-4",27.0558707,38.8211393
"1642","Ford Fiesta 1.4 TDCi Trend
            ÖRNEK OTOMOTİV DEN 2012 FORD FİESTA 1.4 TREND TDCİ 5 K HB","2012",128500,"Beyaz",35000,"13 Mayıs 2017"," Adana Seyhan","Ford Fiesta 1.4 TDCi",27.0558707,38.8211393
"1842","Volvo S60 1.6 D Premium
            ROYAL OTOMOTİV'DEN S60- KOLTUK HAFIZA- CİTY SAFE -HASAR KAYITSIZ","2012",119000,"Beyaz",81900,"13 Mayıs 2017","İzmir Buca","Volvo S60 1.6 D Prem",29.2204548,40.9184004
"1942","Toyota Corolla 1.3 XLi
            1992 MODEL TOYOTA COROLLA SEDAN...","1992",424717,"Beyaz",11750,"13 Mayıs 2017"," Adana Sarıçam","Toyota Corolla 1.3 X",35.905686,41.561959
"2042","Audi A6 2.0 TDI Quattro
            2016 DOĞUŞ ÇIKIŞLI YENİ MAKYAJLI KASA QUATTRO LUXURY SELECTİON
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",0,"Sarı",330000,"13 Mayıs 2017","İstanbulÜsküdar","Audi A6 2.0 TDI Quat",35.905686,41.561959
"2143","Peugeot 208 1.4 HDi Active
            OTOMERKEZİ DİZEL OTOMATİK 208 1 YIL MOTOR MEKANİK GARANTİLİ
                
                            
                            İlk Sahibi","2014",74305,"Beyaz",48250,"13 Mayıs 2017","İstanbul Maltepe","Peugeot 208 1.4 HDi ",35.905686,41.561959
"2242","Dacia Sandero 1.5 dCi Stepway
            2016 MODEL DACİA SANDERO 1.5DCİ STEPWAY...
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",3965,"Kırmızı",53750,"13 Mayıs 2017"," Adana Sarıçam","Dacia Sandero 1.5 dC",35.905686,41.561959
"2342","Renault Fluence 1.5 dCi Icon
            OTOMERKEZİ BOYASIZ HATASIZ DİZEL OTOMATİK FLUENCE
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",25882,"Beyaz",67850,"13 Mayıs 2017","İstanbul Maltepe","Renault Fluence 1.5 ",36.5550757,41.2578477
"272","Toyota Corolla 1.6 Terra
            TERZİ OTOMOTİV DEN 2000 MODEL LPG Lİ TEMİZ TERRA","2000",240000,"Mavi",27000,"13 Mayıs 2017","Şanlıurfa Haliliye","Toyota Corolla 1.6 T",34.3343822,40.2141538
