"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"26","Hyundai Accent Era 1.5 CRDi-VGT Team
            2008 MODEL HYUNDAI","2008",190000,"Gri",28750,"14 Mayıs 2017"," Yozgat Sorgun","Hyundai Accent Era 1",27.731838,38.089478
"33","Renault Megane 1.6 Dynamique
            2004 MODEL MEGAN 1.6 16V","2004",225000,"Kırmızı",30500,"14 Mayıs 2017"," Yozgat Sorgun","Renault Megane 1.6 D",31.104447,36.917399
"43","Renault R 12 Toros
            1996 Model Station vagon Toros","1996",90000,"Beyaz",15500,"14 Mayıs 2017"," SamsunÇarşamba","Renault R 12 Toros
",29.2204548,40.9184004
"52","Opel Astra 1.6 Comfort
            2001 MODEL OPEL ASTRA
                
                            
                            İlk Sahibi","2001",276000,"Gri",27750,"14 Mayıs 2017"," Yozgat Sorgun","Opel Astra 1.6 Comfo",30.6660044,37.7948925
"73","Volkswagen Polo 1.6
            1999 MODEL POLO
                
                            
                            İlk Sahibi","1999",225000,"Beyaz",19500,"14 Mayıs 2017"," Yozgat Sorgun","Volkswagen Polo 1.6",29.0576298,41.0189417
"83","Suzuki SX4 1.6 DDiS GL+
            SUZUKİ 16 TDI 120 hp","2013",78000,"Siyah",64750,"14 Mayıs 2017"," Adana Seyhan","Suzuki SX4 1.6 DDiS ",34.8952102,36.9165612
"93","Opel Astra 1.6 GLS
            UFAK OTOMATİK ARAYANLARA BULUNMAZ NİMET","1995",277000,"Mavi (metalik)",18250,"14 Mayıs 2017"," Ankara Keçiören","Opel Astra 1.6 GLS
",40.5870361,37.1931114
"102","Hyundai Accent 1.3 LX Allegro
            2002 HYUNDAI ACCENT
                
                            
                            İlk Sahibi","2002",238000,"Gri",18750,"14 Mayıs 2017"," Yozgat Sorgun","Hyundai Accent 1.3 L",31.104447,36.917399
"113","Volkswagen Passat 1.8 T Highline
            2004 MODEL PASSAT 1.8T
                
                            
                            İlk Sahibi","2004",85000,"Gri",48750,"14 Mayıs 2017"," Yozgat Sorgun","Volkswagen Passat 1.",34.6414028,38.5977511
"123","Peugeot 308 1.6 HDi Premium
            2008 MODEL 308 1.6 HDİ MANUEL","2008",191000,"Siyah",32000,"14 Mayıs 2017"," Adana Seyhan","Peugeot 308 1.6 HDi ",39.1889005,38.7312587
